 Time,PositionX,PositionY, Heading, AngularVelocity, taFieldRef, taStatic, taAV, taOffset, taRobotRef, taServoPos, shooterTarget, shooterAdjust, shooterVelocity, shooterAngle, intakePower, intakeCurrent, spindexerPower,spindexerPosition, spindexerVelocity, spindexerResult, spindexerTarget
55,72,72,90,0,46.7,316.7,316.7,0,316.7,0.9,1626.4,0,680,0.6,0,7,-0.1,,,,
93,72,72,90,0,46.7,316.7,316.7,0,316.7,0.9,1626.4,0,680,0.6,0,7,-0.1,,,,
127,72,72,90,-0.1,46.7,316.7,316.7,0,316.7,0.9,1720,0,700,0.7,0,7,-0.1,,,,
156,72,72,89.9,0,46.7,316.8,317,0,317,0.9,1720,0,740,0.7,0,7,-0.1,,,,
208,72,72,89.9,0,46.7,316.8,316.8,0,316.8,0.9,1720,0,800,0.7,0,7,-0.1,,,,
239,72,72,90,0,46.7,316.8,316.6,0,316.6,0.9,1720,0,820,0.7,0,7,-0.1,,,,
270,72,72,89.9,0,46.7,316.7,316.8,0,316.8,0.9,1720,0,900,0.7,0,7,-0.1,,,,
303,72,72,89.9,0,46.7,316.8,316.8,0,316.8,0.9,1720,0,920,0.7,0,7,-0.1,,,,
334,72,72,89.9,0,46.7,316.8,316.7,0,316.7,0.9,1720,0,960,0.7,0,7,-0.1,,,,
368,72,72,89.9,0,46.7,316.8,316.7,0,316.7,0.9,1720,0,980,0.7,0,7,-0.1,,,,
398,72,72,89.9,0,46.7,316.8,316.8,0,316.8,0.9,1720,0,1000,0.7,0,7,-0.1,,,,
427,72,72,90,0,46.7,316.8,316.7,0,316.7,0.9,1720,0,1020,0.7,0,7,-0.1,,,,
460,72,72,90,0,46.7,316.7,316.7,0,316.7,0.9,1720,0,1040,0.7,0,7,-0.1,,,,
488,72,72,90,0,46.7,316.7,316.7,0,316.7,0.9,1720,0,1100,0.7,0,7,-0.1,,,,
514,72,72,90,0,46.7,316.7,316.9,0,316.9,0.9,1720,0,1100,0.7,0,7,-0.1,,,,
564,72,71.9,90,0,46.7,316.7,316.7,0,316.7,0.9,1720,0,1140,0.7,0,7,-0.1,,,,
594,72,71.9,90,0,46.7,316.7,316.8,0,316.8,0.9,1720,0,1180,0.7,0,7,-0.1,,,,
627,72,71.9,90,0,46.7,316.7,316.7,0,316.7,0.9,1720,0,1200,0.7,0,7,-0.1,,,,
654,72,71.9,90,0,46.7,316.7,316.7,0,316.7,0.9,1720,0,1240,0.7,0,3,-0.1,,,,
686,72,72,90,0,46.7,316.7,316.8,0,316.8,0.9,1720,0,1260,0.7,0,7,-0.1,,,,
747,72,72,90,0.1,46.7,316.7,316.7,0,316.7,0.9,1720,0,1320,0.7,0,3,-0.1,,,,
776,72,72.1,90.3,0.1,46.7,316.6,315.8,0,315.8,0.9,1720,0,1340,0.7,0,3,-0.1,,,,
803,71.9,72.1,90.4,0,46.7,316.3,316,0,316,0.9,1720,0,1360,0.7,0,7,-0.1,,,,
828,72,72.1,90.3,-0.1,46.7,316.3,316.4,0,316.4,0.9,1720,0,1360,0.7,0,7,-0.1,,,,
853,72,72.1,90.2,-0.1,46.7,316.4,316.8,0,316.8,0.9,1720,0,1380,0.7,0,3,-0.1,,,,
885,72,72.1,89.9,-0.1,46.7,316.6,317.1,0,317.1,0.9,1720,0,1420,0.7,0,3,-0.1,,,,
911,72,72.1,89.9,0,46.7,316.8,317.1,0,317.1,0.9,1720,0,1420,0.7,0,3,-0.1,,,,
938,72,72,90,0.1,46.7,316.8,316.5,0,316.5,0.9,1720,0,1440,0.7,0,7,-0.1,,,,
963,72,72,90.1,0.1,46.7,316.7,316.5,0,316.5,0.9,1720,0,1480,0.7,0,7,-0.1,,,,
989,72,72,90.1,0,46.7,316.6,316.4,0,316.4,0.9,1720,0,1500,0.7,0,7,-0.1,,,,
1015,72,72,90.1,0,46.7,316.6,316.6,0,316.6,0.9,1720,0,1500,0.7,0,7,-0.1,,,,
1040,72,72,90,0,46.7,316.7,316.7,0,316.7,0.9,1720,0,1520,0.7,0,3,-0.1,,,,
1089,72,72,90,0,46.7,316.7,316.7,0,316.7,0.9,1720,0,1540,0.7,0,3,-0.1,,,,
1117,72,72,90,0,46.7,316.7,316.7,0,316.7,0.9,1720,0,1560,0.7,0,3,-0.1,,,,
1151,72,72,90,0,46.7,316.7,316.6,0,316.6,0.9,1720,0,1600,0.7,0,7,-0.1,,,,
1173,72,72,90,0,46.7,316.7,316.6,0,316.6,0.9,1720,0,1600,0.7,0,3,-0.1,,,,
1195,72,72,90,0,46.7,316.7,316.7,0,316.7,0.9,1720,0,1620,0.7,0,3,-0.1,,,,
1234,72,72,90,0,46.7,316.7,316.6,0,316.6,0.9,1720,0,1640,0.7,0,3,-0.1,,,,
1271,72,72,90,0,46.7,316.7,316.9,0,316.9,0.9,1720,0,1660,0.7,0,3,-0.1,,,,
1301,72,72,90,0,46.7,316.7,316.7,0,316.7,0.9,1720,0,1680,0.7,0,0,-0.1,,,,
1326,72,72,90,0,46.7,316.7,316.7,0,316.7,0.9,1720,0,1680,0.7,0,0,-0.1,,,,
1363,72,72,90,0,46.7,316.7,316.7,0,316.7,0.9,1720,0,1700,0.7,0,0,-0.1,,,,
1394,72,72,90.2,0.2,46.7,316.7,316.4,0,316.4,0.9,1720,0,1700,0.7,0,0,-0.1,,,,
1420,72.1,72.1,90.8,0.5,46.7,316.4,314.7,0,314.7,0.9,1720,0,1700,0.7,0,0,-0.1,,,,
1449,72.2,72.2,91.9,0.7,46.7,315.5,312.7,0,312.7,0.9,1720,0,1700,0.7,0,0,-0.1,,,,
1480,72.3,72.4,93.3,1,46.8,314.4,310.6,0,310.6,0.9,1720,0,1700,0.7,0,3,-0.1,,,,
1510,72.5,72.6,95.3,1.3,46.8,312.7,307.7,0,307.7,0.9,1720.1,0,1700,0.7,0,0,-0.1,,,,
1539,72.7,72.9,97.4,1.3,46.8,310.6,304.8,0,304.8,0.9,1720.3,0,1700,0.7,0,0,-0.1,,,,
1570,72.9,73.3,99.9,1.4,46.7,308.2,301.8,0,301.8,0.9,1720.6,0,1720,0.7,0,3,-0.1,,,,
1624,73.4,74.1,103.4,0.8,46.7,305.7,300.1,0,300.1,0.9,1721.1,0,1700,0.7,0,0,-0.1,,,,
1667,73.9,74.9,104.7,0.4,46.6,302.7,299.9,0,299.9,0.9,1721.7,0,1700,0.7,0,0,-0.1,,,,
1701,74.3,75.6,105.3,0.2,46.5,301.5,300.1,0,300.1,0.9,1723.1,0,1700,0.7,0,3,-0.1,,,,
1752,75.1,76.7,105.8,0.1,46.4,300.8,300,0,300,0.9,1724,0,1720,0.7,0,0,-0.1,,,,
1794,75.7,77.7,105.9,0.1,46.2,300.4,300,0,300,0.9,1724.2,0,1740,0.7,0,0,-0.1,,,,
1824,76.2,78.4,106.1,0.1,46.1,300.1,299.9,0,299.9,0.9,1723,0,1740,0.7,0,3,-0.1,,,,
1851,76.6,79.2,106.1,0,46,299.9,299.8,0,299.8,0.9,1721.3,0,1740,0.7,0,0,-0.1,,,,
1881,77,80,106.1,0,45.8,299.8,299.9,0,299.9,0.9,1718.7,0,1740,0.7,0,0,-0.1,,,,
1914,77.4,81,105.9,-0.1,45.6,299.6,299.9,0,299.9,0.9,1715.6,0,1740,0.7,0,0,-0.1,,,,
1948,77.7,82.2,105.7,-0.1,45.3,299.4,300.1,0,300.1,0.9,1711.4,0,1720,0.6,0,0,-0.1,,,,
1989,78,83.8,105.5,-0.1,44.8,299.2,299.6,0,299.6,0.9,1706.1,0,1740,0.6,0,0,-0.1,,,,
2022,78.1,85.1,105.2,-0.2,44.1,298.8,299.4,0,299.4,0.9,1698.7,0,1740,0.6,0,0,-0.1,,,,
2057,78.1,86.5,104.8,-0.2,43.4,298.5,299.6,0,299.6,0.9,1690,0,1740,0.6,0,0,-0.1,,,,
